Denominazione Gruppo,Ordinale,Regione,zona
AOSTA 1,,VALLE D’AOSTA,VALLE D’AOSTA
AOSTA 4,,VALLE D’AOSTA,VALLE D’AOSTA
POINT ST. MARTIN 1,,VALLE D’AOSTA,VALLE D’AOSTA
ST. VINCENT 1,,VALLE D’AOSTA,VALLE D’AOSTA
